email,first_name,last_name,perferred_name,department_name,level_2,level_3,level_4,level_5,manager_email,,gender,ethnicity,leadership_skills,leadership_modifier,Affinity bias,Authenticity,Constructive Feedback,Credit For Work,Digital Inclusion,Diverse Thinking,Empathy,Feeling Listened To,Flexible Working,Fostering D&amp;I,Leadership Stereotypes,Positive Recognition,Sustainable Workload,Undermining,Wellbeing Checkins
test.Karen.Clifford@survey.staging.vortexplore.com,Karen,Clifford,Karen Clifford,CEO Office,,,,,,,Female,White,0.32840456498146514,0,4,3,4,2,2,3,4,4,2,4,5,3,3,2,5
test.Timothy.Walker@survey.staging.vortexplore.com,Timothy,Walker,Timothy Walker,CEO Office,,,,,test.Karen.Clifford@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.11722460662450207,0.32840456498146514,5,4,3,4,2,4,1,4,2,4,4,5,3,4,2
test.Bob.James@survey.staging.vortexplore.com,Bob,James,Bob James,HR,CHRO,,,,test.Karen.Clifford@survey.staging.vortexplore.com,,Female,White,-1.2074468256224575,0.32840456498146514,4,3,3,3,2,3,3,4,3,5,4,4,3,2,2
test.Kendra.James@survey.staging.vortexplore.com,Kendra,James,Kendra James,HR,Recruiting,,,,test.Bob.James@survey.staging.vortexplore.com,,Female,White,0.3420587049200493,-1.2074468256224575,2,2,1,3,1,2,3,2,1,3,3,3,2,1,3
test.Joyce.Mack@survey.staging.vortexplore.com,Joyce,Mack,Joyce Mack,HR,Recruiting,,,,test.Kendra.James@survey.staging.vortexplore.com,,Female,White,0.051640366540023463,0.3420587049200493,4,3,3,5,2,4,4,4,2,3,3,4,4,4,2
test.Joy.Carlson@survey.staging.vortexplore.com,Joy,Carlson,Joy Carlson,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.01834700978621151,0.051640366540023463,4,3,3,3,2,3,3,4,2,4,4,2,4,2,3
test.Sherry.Griffith@survey.staging.vortexplore.com,Sherry,Griffith,Sherry Griffith,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.027001054049694273,0.051640366540023463,3,2,3,3,2,3,6,4,2,4,5,4,3,3,3
test.Jacob.Chang@survey.staging.vortexplore.com,Jacob,Chang,Jacob Chang,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.477600347831644,0.051640366540023463,3,4,4,2,2,3,2,3,2,3,4,3,3,3,4
test.Laurie.Sanchez@survey.staging.vortexplore.com,Laurie,Sanchez,Laurie Sanchez,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.00955599921304412,0.051640366540023463,4,3,3,4,2,3,2,4,2,3,4,3,3,1,1
test.Laura.Garcia@survey.staging.vortexplore.com,Laura,Garcia,Laura Garcia,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.08438762279816953,0.051640366540023463,3,3,3,1,2,3,1,3,2,3,4,4,3,3,2
test.Susan.Roy@survey.staging.vortexplore.com,Susan,Roy,Susan Roy,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.4851555681621347,0.051640366540023463,3,3,3,4,2,4,5,5,2,4,4,4,4,5,2
test.Marcus.Moore@survey.staging.vortexplore.com,Marcus,Moore,Marcus Moore,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.4763552033113009,0.051640366540023463,3,3,3,4,2,3,5,4,2,3,3,4,3,3,3
test.Gary.Morris@survey.staging.vortexplore.com,Gary,Morris,Gary Morris,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Male,White,0.2489499219153643,0.051640366540023463,3,2,3,3,2,4,3,4,2,3,3,2,4,2,3
test.Joseph.Frazier@survey.staging.vortexplore.com,Joseph,Frazier,Joseph Frazier,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,-0.5595549924364379,0.051640366540023463,3,2,3,3,2,3,5,4,2,3,5,3,4,2,2
test.Sue.Webster@survey.staging.vortexplore.com,Sue,Webster,Sue Webster,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.31829472562091143,0.051640366540023463,4,3,4,3,2,4,1,4,2,4,3,4,3,2,3
test.Andrew.Lopez@survey.staging.vortexplore.com,Andrew,Lopez,Andrew Lopez,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.4409917158629933,0.051640366540023463,3,3,3,3,2,3,3,4,2,3,4,3,4,4,4
test.Eric.Morris@survey.staging.vortexplore.com,Eric,Morris,Eric Morris,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,Ethnic Minority,0.3736352435484582,0.051640366540023463,5,3,3,2,2,4,2,5,2,4,4,5,3,4,1
test.David.Christensen@survey.staging.vortexplore.com,David,Christensen,David Christensen,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Male,White,0.13788544938487168,0.051640366540023463,2,2,3,2,2,3,4,2,2,3,4,4,3,2,2
test.Elizabeth.Blevins@survey.staging.vortexplore.com,Elizabeth,Blevins,Elizabeth Blevins,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.24398163717117533,0.051640366540023463,3,3,3,4,2,3,1,3,2,4,5,4,4,2,2
test.Alexander.Bullock@survey.staging.vortexplore.com,Alexander,Bullock,Alexander Bullock,HR,Recruiting,,,,test.Joyce.Mack@survey.staging.vortexplore.com,,Female,White,0.1291590075917478,0.051640366540023463,4,3,2,2,2,3,5,4,2,3,5,3,3,2,2
test.Carolyn.Mcclain@survey.staging.vortexplore.com,Carolyn,Mcclain,Carolyn Mcclain,HR,Generalists,,,,test.Kendra.James@survey.staging.vortexplore.com,,Female,White,0.09103343789076557,0.3420587049200493,3,3,3,2,2,3,5,4,2,4,4,3,4,4,3
test.Ashley.Allen@survey.staging.vortexplore.com,Ashley,Allen,Ashley Allen,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.4418986826762151,0.09103343789076557,4,2,3,4,3,3,7,4,2,3,4,3,3,2,2
test.Kelly.Williams@survey.staging.vortexplore.com,Kelly,Williams,Kelly Williams,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.009635788263685552,0.09103343789076557,3,2,3,3,2,3,7,4,2,4,4,3,3,3,3
test.Maria.Brown@survey.staging.vortexplore.com,Maria,Brown,Maria Brown,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Male,White,0.2224621563052659,0.09103343789076557,5,2,3,4,2,3,4,4,2,3,4,4,3,2,4
test.Jose.Kelly@survey.staging.vortexplore.com,Jose,Kelly,Jose Kelly,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.009542281873450909,0.09103343789076557,5,4,3,2,3,4,3,3,2,3,3,4,3,4,2
test.Mark.Gardner@survey.staging.vortexplore.com,Mark,Gardner,Mark Gardner,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.33425316654120013,0.09103343789076557,4,2,3,3,2,3,3,6,2,3,4,3,3,4,1
test.Kirsten.Braun@survey.staging.vortexplore.com,Kirsten,Braun,Kirsten Braun,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.4549890602762577,0.09103343789076557,4,3,3,3,2,4,1,3,2,3,4,2,3,2,3
test.Gary.Mitchell@survey.staging.vortexplore.com,Gary,Mitchell,Gary Mitchell,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Male,White,0.2667672946098604,0.09103343789076557,3,3,4,3,2,3,4,3,2,4,3,2,3,3,3
test.Teresa.Jones@survey.staging.vortexplore.com,Teresa,Jones,Teresa Jones,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.10753029970604361,0.09103343789076557,4,3,4,4,2,3,6,5,2,3,4,2,3,3,3
2.test.Laura.Smith@survey.staging.vortexplore.com,Laura,Smith,Laura Smith,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.4735334437508176,0.09103343789076557,3,4,3,5,2,4,4,3,2,3,5,2,3,3,3
test.Donald.Wilcox@survey.staging.vortexplore.com,Donald,Wilcox,Donald Wilcox,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Male,White,0.28744378763858314,0.09103343789076557,4,3,3,3,2,3,3,3,2,4,3,2,4,3,2
test.Teresa.Owens@survey.staging.vortexplore.com,Teresa,Owens,Teresa Owens,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,-1.3530028169187558,0.09103343789076557,3,3,2,4,2,3,4,4,2,3,3,3,4,3,1
test.William.Johnson@survey.staging.vortexplore.com,William,Johnson,William Johnson,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.4823847433403486,0.09103343789076557,4,3,2,3,2,3,2,3,2,3,4,3,4,3,2
3.test.Ryan.Smith@survey.staging.vortexplore.com,Ryan,Smith,Ryan Smith,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.049616750259671494,0.09103343789076557,3,3,3,3,2,4,1,3,3,3,4,2,3,3,5
test.John.Nelson@survey.staging.vortexplore.com,John,Nelson,John Nelson,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.034464085156695745,0.09103343789076557,5,4,3,1,2,3,2,5,3,4,4,3,3,4,2
test.Oscar.Ramirez@survey.staging.vortexplore.com,Oscar,Ramirez,Oscar Ramirez,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.05925184154315455,0.09103343789076557,3,3,3,3,2,4,3,5,2,2,4,3,3,3,1
test.Sarah.Benton@survey.staging.vortexplore.com,Sarah,Benton,Sarah Benton,HR,Generalists,,,,test.Carolyn.Mcclain@survey.staging.vortexplore.com,,Female,White,0.2582934886574131,0.09103343789076557,3,3,3,3,2,4,3,3,2,3,4,3,3,3,2
test.Alexis.Hall@survey.staging.vortexplore.com,Alexis,Hall,Alexis Hall,HR,Chief Diversity Officer,,,,test.Bob.James@survey.staging.vortexplore.com,,Male,Ethnic Minority,0.13950031766884086,-1.2074468256224575,3,3,2,2,1,2,3,2,1,3,2,3,2,2,1
test.Daniel.Burns@survey.staging.vortexplore.com,Daniel,Burns,Daniel Burns,HR,Head of Compensation,,,,test.Alexis.Hall@survey.staging.vortexplore.com,,Male,White,0.031245684701432408,0.13950031766884086,3,2,4,5,2,4,6,3,2,4,4,3,3,3,3
